id;isbn;title;publish_date;cover;cover_content_type
1;Handmade Cott;Mayotte Dynamic SAS;2020-02-02T13:13:14;../fake-data/blob/hipster.png;image/png
2;Gloves real-t;compress transmit Configuration;2020-02-02T16:02:17;../fake-data/blob/hipster.png;image/png
3;intuitive hig;Borders Designer calculating;2020-02-02T23:25:25;../fake-data/blob/hipster.png;image/png
4;Kansas Accoun;Texas auxiliary;2020-02-02T11:05:29;../fake-data/blob/hipster.png;image/png
5;Cotton Repres;Bedfordshire calculating Toys;2020-02-03T07:23:42;../fake-data/blob/hipster.png;image/png
6;Alaska Games ;bleeding-edge payment violet;2020-02-03T08:48:21;../fake-data/blob/hipster.png;image/png
7;ivory Mouse;programming Licensed Plastic Bacon Consultant;2020-02-02T13:43:33;../fake-data/blob/hipster.png;image/png
8;methodologies;application;2020-02-02T23:58:17;../fake-data/blob/hipster.png;image/png
9;turn-key Aust;panel;2020-02-02T23:00:56;../fake-data/blob/hipster.png;image/png
10;navigating Cl;generate Health deposit;2020-02-03T01:55:37;../fake-data/blob/hipster.png;image/png
